SaleKey,InvoiceNumber,SaleDate,GameKey,CustomerKey,RetailerKey,UnitsSold,UnitPrice,DiscountPct,UnitCost,NetSalesAmount,TotalCostAmount,GrossProfitAmount,GrossMarginPct,PromoFlag,OrderSource
72,INV10071,2023-10-02,32,462,131,3,20.39,0.15,9.63,51.99,28.89,23.1,0.4443,True,Mobile App
73,INV10072,2023-10-11,136,441,457,5,24.74,0.28,8.28,89.06,41.4,47.66,0.5351,False,Mobile App
74,INV10073,2023-08-23,248,83,269,3,22.7,0.27,9.66,49.71,28.98,20.73,0.417,False,Retail POS
75,INV10074,2023-07-16,359,419,393,1,56.26,0.06,21.32,52.88,21.32,31.56,0.5968,False,Retail POS
76,INV10075,2023-12-31,341,472,479,2,24.04,0.0,7.72,48.08,15.44,32.64,0.6789,False,Mobile App
77,INV10076,2022-11-29,146,234,473,4,55.81,0.3,25.82,156.27,103.28,52.99,0.3391,True,Retail POS
78,INV10077,2023-01-26,334,60,52,5,32.47,0.04,18.4,155.86,92.0,63.86,0.4097,True,Website
79,INV10078,2023-09-04,143,454,492,2,63.88,0.03,32.11,123.93,64.22,59.71,0.4818,False,Retail POS
80,INV10079,2023-06-28,234,188,62,4,60.65,0.0,22.74,242.6,90.96,151.64,0.6251,True,Mobile App
81,INV10080,2022-10-29,410,58,119,5,67.88,0.17,32.04,281.7,160.2,121.5,0.4313,True,Retail POS
82,INV10081,2023-04-10,437,259,365,5,64.18,0.2,37.42,256.72,187.1,69.62,0.2712,False,Website
83,INV10082,2023-06-02,44,162,264,1,66.66,0.26,34.45,49.33,34.45,14.88,0.3016,True,Retail POS
84,INV10083,2023-09-12,32,301,239,2,62.93,0.12,31.9,110.76,63.8,46.96,0.424,True,Mobile App
85,INV10084,2023-03-17,231,306,351,5,54.66,0.28,32.27,196.78,161.35,35.43,0.18,False,Website
86,INV10085,2022-04-12,28,2,381,5,28.5,0.07,15.38,132.52,76.9,55.62,0.4197,False,Website
87,INV10086,2024-03-23,423,271,255,4,33.58,0.33,11.45,89.99,45.8,44.19,0.4911,False,Retail POS
88,INV10087,2023-12-20,491,421,173,1,30.63,0.23,12.38,23.59,12.38,11.21,0.4752,False,Website
89,INV10088,2022-04-28,160,143,309,3,50.17,0.23,29.58,115.89,88.74,27.15,0.2343,True,Website
90,INV10089,2024-05-23,333,188,237,1,45.17,0.08,20.19,41.56,20.19,21.37,0.5142,False,Website
91,INV10090,2023-11-02,207,352,319,3,63.34,0.03,21.12,184.32,63.36,120.96,0.6562,True,Mobile App
92,INV10091,2023-10-29,18,341,95,2,67.62,0.19,29.59,109.54,59.18,50.36,0.4597,True,Website
93,INV10092,2024-06-17,103,448,337,2,40.23,0.25,20.48,60.34,40.96,19.38,0.3212,False,Retail POS
94,INV10093,2024-02-27,70,465,495,5,45.31,0.04,27.15,217.49,135.75,81.74,0.3758,True,Retail POS
95,INV10094,2023-07-19,119,482,57,2,68.57,0.38,27.23,85.03,54.46,30.57,0.3595,True,Website
96,INV10095,2024-01-09,139,224,438,5,33.8,0.39,15.35,103.09,76.75,26.34,0.2555,True,Retail POS
97,INV10096,2024-06-05,160,498,403,1,59.61,0.22,33.61,46.5,33.61,12.89,0.2772,False,Website
98,INV10097,2022-08-09,232,367,67,2,31.25,0.38,12.71,38.75,25.42,13.33,0.344,True,Retail POS
99,INV10098,2023-03-17,148,180,46,1,54.06,0.07,17.99,50.28,17.99,32.29,0.6422,False,Website
100,INV10099,2023-04-08,353,23,94,1,32.67,0.01,19.1,32.34,19.1,13.24,0.4094,False,Website
101,INV10100,2022-08-22,424,355,138,2,64.18,0.02,28.66,125.79,57.32,68.47,0.5443,True,Website
102,INV10101,2023-02-28,392,37,369,1,48.06,0.24,21.67,36.53,21.67,14.86,0.4068,True,Mobile App
103,INV10102,2022-12-14,243,107,93,2,29.29,0.02,14.25,57.41,28.5,28.91,0.5036,False,Retail POS
104,INV10103,2024-04-27,35,297,232,2,31.21,0.38,9.4,38.7,18.8,19.9,0.5142,False,Website
105,INV10104,2023-04-10,325,229,402,2,44.68,0.06,25.88,84.0,51.76,32.24,0.3838,False,Mobile App
106,INV10105,2023-02-13,382,313,396,3,68.07,0.12,27.8,179.7,83.4,96.3,0.5359,False,Mobile App
107,INV10106,2023-03-02,355,97,49,1,58.47,0.33,24.5,39.17,24.5,14.67,0.3745,False,Website
108,INV10107,2024-01-18,239,281,23,4,44.41,0.09,15.64,161.65,62.56,99.09,0.613,True,Website
109,INV10108,2022-04-08,334,110,62,2,36.88,0.1,15.25,66.38,30.5,35.88,0.5405,False,Website
110,INV10109,2022-11-17,149,37,267,1,47.45,0.26,25.68,35.11,25.68,9.43,0.2686,True,Website
111,INV10110,2023-03-14,111,40,329,5,57.41,0.11,31.0,255.47,155.0,100.47,0.3933,False,Website
112,INV10111,2022-11-17,408,85,118,2,59.19,0.09,34.37,107.73,68.74,38.99,0.3619,True,Retail POS
113,INV10112,2023-11-13,17,302,440,2,36.22,0.1,15.25,65.2,30.5,34.7,0.5322,False,Website
114,INV10113,2022-09-19,402,188,88,4,56.05,0.2,28.73,179.36,114.92,64.44,0.3593,True,Website
115,INV10114,2023-01-19,226,240,89,3,52.88,0.39,23.91,96.77,71.73,25.04,0.2588,True,Retail POS
116,INV10115,2022-06-06,140,358,55,3,67.95,0.33,36.78,136.58,110.34,26.24,0.1921,False,Mobile App
117,INV10116,2023-12-05,144,488,153,2,66.54,0.11,34.19,118.44,68.38,50.06,0.4227,True,Retail POS
118,INV10117,2023-05-01,260,354,239,1,59.46,0.15,24.4,50.54,24.4,26.14,0.5172,False,Mobile App
119,INV10118,2022-03-10,217,19,265,5,56.16,0.19,22.52,227.45,112.6,114.85,0.5049,False,Mobile App
120,INV10119,2022-04-04,162,347,268,5,33.69,0.39,12.66,102.75,63.3,39.45,0.3839,True,Retail POS
121,INV10120,2024-05-01,92,393,395,1,62.29,0.07,29.46,57.93,29.46,28.47,0.4915,True,Website
122,INV10121,2022-03-29,174,325,113,2,41.37,0.14,24.37,71.16,48.74,22.42,0.3151,False,Mobile App
123,INV10122,2022-04-06,331,261,166,5,33.6,0.29,12.1,119.28,60.5,58.78,0.4928,False,Website
124,INV10123,2023-03-19,205,473,156,3,39.2,0.39,12.88,71.74,38.64,33.1,0.4614,False,Retail POS
125,INV10124,2022-04-09,415,410,8,1,61.79,0.06,20.75,58.08,20.75,37.33,0.6427,True,Mobile App
126,INV10125,2024-02-02,153,403,202,4,27.42,0.09,14.67,99.81,58.68,41.13,0.4121,True,Website
127,INV10126,2024-01-27,103,158,217,2,42.8,0.09,17.34,77.9,34.68,43.22,0.5548,False,Mobile App
128,INV10127,2023-01-17,202,484,431,1,44.61,0.01,16.39,44.16,16.39,27.77,0.6288,True,Mobile App
129,INV10128,2024-04-11,280,304,292,5,21.82,0.24,8.86,82.92,44.3,38.62,0.4658,True,Retail POS
130,INV10129,2022-05-14,65,112,381,2,29.78,0.27,14.7,43.48,29.4,14.08,0.3238,True,Website
131,INV10130,2023-07-24,117,144,50,3,61.33,0.24,28.46,139.83,85.38,54.45,0.3894,False,Website
132,INV10131,2022-03-03,153,256,107,2,61.53,0.03,32.18,119.37,64.36,55.01,0.4608,False,Mobile App
133,INV10132,2023-08-24,156,455,9,2,34.61,0.03,13.9,67.14,27.8,39.34,0.5859,True,Website
134,INV10133,2023-07-30,164,18,233,3,63.73,0.08,27.76,175.89,83.28,92.61,0.5265,True,Mobile App
135,INV10134,2023-07-30,82,184,188,3,58.58,0.12,19.37,154.65,58.11,96.54,0.6242,False,Retail POS
136,INV10135,2022-12-04,6,405,456,2,40.89,0.31,13.16,56.43,26.32,30.11,0.5336,True,Retail POS
137,INV10136,2023-11-18,322,287,323,3,57.41,0.06,25.18,161.9,75.54,86.36,0.5334,False,Website
138,INV10137,2022-05-06,67,385,309,1,68.06,0.02,26.58,66.7,26.58,40.12,0.6015,False,Retail POS
139,INV10138,2023-02-25,238,131,338,3,42.94,0.16,20.78,108.21,62.34,45.87,0.4239,False,Retail POS
140,INV10139,2022-12-29,72,479,110,3,31.91,0.17,9.98,79.46,29.94,49.52,0.6232,False,Website
141,INV10140,2024-06-13,95,281,483,2,67.08,0.18,22.57,110.01,45.14,64.87,0.5897,False,Mobile App
142,INV10141,2023-11-13,304,245,145,1,50.18,0.33,28.08,33.62,28.08,5.54,0.1648,False,Retail POS
143,INV10142,2024-02-08,467,8,228,4,25.25,0.04,11.86,96.96,47.44,49.52,0.5107,False,Website
144,INV10143,2023-03-10,498,193,309,4,48.62,0.28,24.97,140.03,99.88,40.15,0.2867,True,Website
145,INV10144,2024-06-07,326,318,412,5,45.02,0.14,24.88,193.59,124.4,69.19,0.3574,False,Website
146,INV10145,2024-01-09,78,391,114,3,62.77,0.12,27.57,165.71,82.71,83.0,0.5009,True,Retail POS
147,INV10146,2022-02-22,67,7,63,3,46.52,0.37,24.58,87.92,73.74,14.18,0.1613,True,Retail POS
148,INV10147,2022-10-22,176,136,399,1,32.75,0.1,14.98,29.48,14.98,14.5,0.4919,True,Mobile App
149,INV10148,2023-09-07,321,19,275,4,53.77,0.26,19.72,159.16,78.88,80.28,0.5044,False,Mobile App
150,INV10149,2022-11-16,172,401,124,5,47.12,0.11,18.91,209.68,94.55,115.13,0.5491,True,Mobile App
151,INV10150,2022-12-27,478,139,86,1,31.64,0.2,14.15,25.31,14.15,11.16,0.4409,False,Mobile App
152,INV10151,2022-04-17,255,367,70,3,48.67,0.31,19.23,100.75,57.69,43.06,0.4274,False,Mobile App
153,INV10152,2023-08-15,63,489,47,4,61.07,0.35,24.47,158.78,97.88,60.9,0.3835,True,Mobile App
154,INV10153,2023-06-04,302,177,199,5,21.42,0.34,8.59,70.69,42.95,27.74,0.3924,True,Website
155,INV10154,2022-08-06,403,11,364,2,51.53,0.23,17.36,79.36,34.72,44.64,0.5625,True,Mobile App
156,INV10155,2022-06-08,246,486,432,4,37.47,0.1,12.19,134.89,48.76,86.13,0.6385,True,Retail POS
157,INV10156,2023-11-04,192,41,201,5,34.62,0.26,10.87,128.09,54.35,73.74,0.5757,False,Mobile App
158,INV10157,2023-05-09,467,446,276,1,39.62,0.28,13.2,28.53,13.2,15.33,0.5373,True,Retail POS
159,INV10158,2022-08-18,329,114,37,2,37.09,0.0,14.95,74.18,29.9,44.28,0.5969,True,Mobile App
160,INV10159,2024-05-17,71,180,203,5,61.6,0.18,29.45,252.56,147.25,105.31,0.417,True,Website
161,INV10160,2022-04-21,366,194,130,5,33.73,0.34,12.02,111.31,60.1,51.21,0.4601,True,Website
162,INV10161,2022-12-25,229,196,448,3,56.65,0.2,32.09,135.96,96.27,39.69,0.2919,True,Retail POS
163,INV10162,2024-05-15,434,498,470,4,24.69,0.12,13.39,86.91,53.56,33.35,0.3837,False,Mobile App
164,INV10163,2023-07-24,63,348,496,3,67.56,0.35,30.82,131.74,92.46,39.28,0.2982,False,Website
165,INV10164,2023-01-12,297,225,292,2,51.11,0.06,26.44,96.09,52.88,43.21,0.4497,False,Website
166,INV10165,2022-04-28,245,331,389,5,55.33,0.08,22.68,254.52,113.4,141.12,0.5545,True,Mobile App
167,INV10166,2024-02-20,7,323,64,3,34.89,0.27,10.85,76.41,32.55,43.86,0.574,True,Retail POS
168,INV10167,2022-10-13,393,424,263,4,40.59,0.14,23.19,139.63,92.76,46.87,0.3357,False,Retail POS
169,INV10168,2023-08-11,260,261,454,2,31.18,0.29,10.55,44.28,21.1,23.18,0.5235,False,Retail POS
170,INV10169,2022-08-20,89,116,120,1,66.62,0.06,38.93,62.62,38.93,23.69,0.3783,False,Website
171,INV10170,2024-04-06,177,469,278,3,44.4,0.1,20.94,119.88,62.82,57.06,0.476,False,Mobile App
172,INV10171,2023-03-16,204,150,202,2,51.51,0.06,20.17,96.84,40.34,56.5,0.5834,True,Website
173,INV10172,2024-05-15,134,118,46,1,56.7,0.38,25.44,35.15,25.44,9.71,0.2762,True,Website
174,INV10173,2023-07-29,82,165,168,3,38.55,0.16,17.37,97.15,52.11,45.04,0.4636,True,Website
175,INV10174,2024-02-25,488,252,445,2,56.0,0.13,17.19,97.44,34.38,63.06,0.6472,False,Website
176,INV10175,2024-04-18,21,267,110,2,53.79,0.01,21.87,106.5,43.74,62.76,0.5893,False,Mobile App
177,INV10176,2023-09-29,399,44,46,3,55.27,0.06,28.85,155.86,86.55,69.31,0.4447,False,Website
178,INV10177,2023-09-21,128,470,212,2,44.45,0.17,20.14,73.79,40.28,33.51,0.4541,True,Website
179,INV10178,2023-11-23,195,489,28,5,39.14,0.03,14.61,189.83,73.05,116.78,0.6152,True,Retail POS
180,INV10179,2023-10-21,194,181,87,3,31.09,0.2,12.45,74.62,37.35,37.27,0.4995,False,Website
181,INV10180,2023-07-25,184,77,291,2,61.22,0.18,34.22,100.4,68.44,31.96,0.3183,True,Mobile App
182,INV10181,2022-01-27,247,374,385,1,50.41,0.31,23.07,34.78,23.07,11.71,0.3367,False,Website
183,INV10182,2023-09-16,361,116,157,1,42.21,0.26,19.35,31.24,19.35,11.89,0.3806,False,Mobile App
184,INV10183,2023-11-05,360,445,265,5,67.19,0.18,39.54,275.48,197.7,77.78,0.2823,False,Mobile App
185,INV10184,2024-04-29,324,67,265,3,22.38,0.09,8.87,61.1,26.61,34.49,0.5645,True,Mobile App
186,INV10185,2023-12-12,160,13,22,2,62.5,0.29,27.74,88.75,55.48,33.27,0.3749,False,Retail POS
187,INV10186,2022-10-01,194,92,256,2,69.87,0.28,37.98,100.61,75.96,24.65,0.245,False,Retail POS
188,INV10187,2022-01-30,110,246,191,1,64.34,0.06,33.95,60.48,33.95,26.53,0.4387,True,Website
189,INV10188,2022-07-04,413,267,450,5,60.51,0.37,22.98,190.61,114.9,75.71,0.3972,False,Website
190,INV10189,2022-10-07,66,139,464,1,38.71,0.03,13.37,37.55,13.37,24.18,0.6439,False,Website
191,INV10190,2023-12-21,418,341,232,1,31.56,0.02,16.1,30.93,16.1,14.83,0.4795,True,Mobile App
192,INV10191,2024-02-20,254,244,186,5,56.73,0.07,21.4,263.79,107.0,156.79,0.5944,False,Mobile App
193,INV10192,2022-11-13,283,341,326,3,35.22,0.36,20.31,67.62,60.93,6.69,0.0989,False,Mobile App
194,INV10193,2022-12-14,60,391,183,2,28.79,0.21,9.75,45.49,19.5,25.99,0.5713,False,Website
195,INV10194,2022-12-26,118,273,397,3,59.32,0.32,23.46,121.01,70.38,50.63,0.4184,True,Website
196,INV10195,2022-01-07,423,304,481,4,35.62,0.09,11.27,129.66,45.08,84.58,0.6523,False,Website
197,INV10196,2022-07-05,44,398,403,4,65.71,0.2,33.58,210.27,134.32,75.95,0.3612,False,Website
198,INV10197,2024-06-09,486,191,463,4,62.02,0.14,35.19,213.35,140.76,72.59,0.3402,False,Retail POS
199,INV10198,2022-05-27,210,448,417,5,62.37,0.33,30.61,208.94,153.05,55.89,0.2675,True,Retail POS
200,INV10199,2023-08-03,36,97,202,1,58.57,0.01,34.05,57.98,34.05,23.93,0.4127,True,Retail POS
201,INV10200,2023-11-05,19,331,65,3,64.03,0.1,21.68,172.88,65.04,107.84,0.6238,True,Website
202,INV10201,2023-02-15,91,205,444,2,60.28,0.06,19.67,113.33,39.34,73.99,0.6529,False,Retail POS
203,INV10202,2022-03-13,301,449,396,4,50.12,0.34,27.64,132.32,110.56,21.76,0.1644,True,Retail POS
204,INV10203,2022-05-26,212,418,43,3,34.78,0.19,19.36,84.52,58.08,26.44,0.3128,False,Website
205,INV10204,2024-01-29,405,137,221,4,64.4,0.16,35.38,216.38,141.52,74.86,0.346,True,Retail POS
206,INV10205,2023-10-11,407,77,17,4,62.02,0.18,33.47,203.43,133.88,69.55,0.3419,True,Website
207,INV10206,2022-02-01,222,384,324,2,43.63,0.39,17.83,53.23,35.66,17.57,0.3301,True,Website
208,INV10207,2022-04-04,217,37,285,5,21.94,0.34,8.01,72.4,40.05,32.35,0.4468,True,Website
209,INV10208,2024-02-04,223,286,183,1,51.92,0.28,30.04,37.38,30.04,7.34,0.1964,False,Mobile App
210,INV10209,2023-06-28,411,425,391,5,22.52,0.12,8.83,99.09,44.15,54.94,0.5544,True,Website
211,INV10210,2022-08-09,98,429,44,3,66.3,0.07,27.81,184.98,83.43,101.55,0.549,False,Retail POS
212,INV10211,2023-01-21,456,485,461,5,68.07,0.37,34.71,214.42,173.55,40.87,0.1906,False,Retail POS
213,INV10212,2023-03-06,19,303,389,3,29.46,0.17,11.43,73.36,34.29,39.07,0.5326,False,Website
214,INV10213,2023-04-10,297,135,188,3,53.81,0.11,29.37,143.67,88.11,55.56,0.3867,True,Mobile App
215,INV10214,2022-12-16,26,142,390,1,24.6,0.19,7.9,19.93,7.9,12.03,0.6036,True,Mobile App
216,INV10215,2022-06-11,28,254,482,2,56.47,0.37,30.34,71.15,60.68,10.47,0.1472,False,Mobile App
217,INV10216,2023-01-14,64,48,263,1,37.35,0.15,17.95,31.75,17.95,13.8,0.4346,True,Retail POS
218,INV10217,2022-11-16,324,255,174,5,54.04,0.23,25.5,208.05,127.5,80.55,0.3872,False,Mobile App
219,INV10218,2024-01-09,223,134,441,3,38.63,0.32,16.9,78.81,50.7,28.11,0.3567,True,Mobile App
220,INV10219,2022-11-29,80,290,54,4,27.27,0.17,10.45,90.54,41.8,48.74,0.5383,True,Website
221,INV10220,2024-03-06,51,208,220,4,40.3,0.09,17.7,146.69,70.8,75.89,0.5173,False,Mobile App
222,INV10221,2023-08-05,458,499,46,3,25.62,0.4,11.14,46.12,33.42,12.7,0.2754,True,Mobile App
223,INV10222,2023-09-03,102,101,394,1,48.83,0.38,23.2,30.27,23.2,7.07,0.2336,False,Mobile App
224,INV10223,2022-03-28,176,484,260,2,22.04,0.34,8.47,29.09,16.94,12.15,0.4177,False,Website
225,INV10224,2022-02-23,10,46,195,1,46.36,0.28,14.99,33.38,14.99,18.39,0.5509,True,Website
226,INV10225,2022-06-09,237,443,409,3,64.31,0.12,22.09,169.78,66.27,103.51,0.6097,True,Mobile App
227,INV10226,2022-06-11,457,70,471,3,61.88,0.37,31.54,116.95,94.62,22.33,0.1909,True,Retail POS
228,INV10227,2024-02-12,423,136,347,2,64.13,0.11,19.67,114.15,39.34,74.81,0.6554,False,Retail POS
229,INV10228,2023-09-25,100,280,462,5,66.09,0.32,36.81,224.71,184.05,40.66,0.1809,True,Website
230,INV10229,2022-02-20,499,67,61,5,25.22,0.37,12.82,79.44,64.1,15.34,0.1931,True,Mobile App
231,INV10230,2023-11-22,378,4,166,2,26.43,0.24,14.02,40.17,28.04,12.13,0.302,True,Retail POS
232,INV10231,2022-03-25,228,224,160,5,47.84,0.32,26.35,162.66,131.75,30.91,0.19,True,Mobile App
233,INV10232,2022-10-06,403,1,151,4,64.69,0.32,21.79,175.96,87.16,88.8,0.5047,False,Website
234,INV10233,2023-03-30,64,290,111,5,68.71,0.08,37.57,316.07,187.85,128.22,0.4057,True,Retail POS
235,INV10234,2023-11-09,380,109,488,5,22.3,0.27,10.07,81.4,50.35,31.05,0.3814,False,Website
236,INV10235,2023-03-11,19,265,37,5,37.78,0.04,21.37,181.34,106.85,74.49,0.4108,True,Mobile App
237,INV10236,2023-05-13,332,63,3,4,30.63,0.2,17.34,98.02,69.36,28.66,0.2924,True,Website
238,INV10237,2023-09-14,318,460,483,5,57.79,0.06,17.76,271.61,88.8,182.81,0.6731,True,Website
